Fiscal Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Biological Science,,,,,,$513.57 ,$510.12 ,$533.88 ,$578.41 ,$629.52 ,$658.05 ,$746.87 ,$770.92 ,$847.50 ,$851.68 ,$812.02 ,$792.45 ,$808.14 ,$800.99 ,$844.57 ,$911.53 ,$890.57 ,$874.02 ,$818.40 ,$852.13 ,$860.34 ,$838.40 ,$844.78 ,$841.55 ,$855.16 ,$809.31 ,$817.74 
Computer and Info Science and Engineering,,,,,,$440.14 ,$439.74 ,$449.40 ,$437.58 ,$479.32 ,$611.28 ,$734.88 ,$779.04 ,$875.43 ,$878.23 ,$863.85 ,$850.55 ,$941.69 ,$937.33 ,$995.20 ,"$1,062.86 ","$1,171.32 ","$1,149.97 ","$1,033.95 ","$1,055.20 ","$1,090.32 ","$1,083.32 ","$1,065.26 ","$1,068.69 ","$1,074.88 ",$996.40 ,"$1,007.13 "
Engineering,,,,,,$551.26 ,$540.74 ,$575.28 ,$557.98 ,$594.24 ,$597.52 ,$666.05 ,$712.21 ,$804.73 ,$820.52 ,$784.30 ,$798.67 ,$836.64 ,$845.06 ,$855.34 ,$989.52 ,$954.42 ,"$1,011.79 ",$988.24 ,$984.88 ,"$1,079.29 ","$1,060.70 ","$1,059.55 ","$1,087.70 ","$1,081.47 ",$754.31 ,$764.44 
Geosciences**,,,,,,$716.33 ,$711.30 ,$731.55 ,$712.28 ,$767.45 ,$767.14 ,$866.21 ,$922.05 ,"$1,027.77 ","$1,035.01 ",$981.51 ,$960.31 ,$990.49 ,$986.07 ,"$1,039.97 ","$1,137.39 ","$1,106.94 ","$1,086.17 ","$1,020.94 ","$1,026.65 ","$1,023.76 ","$1,015.34 ",$939.71 ,"$1,009.73 ","$1,058.27 ",$993.72 ,"$1,004.26 "
Mathematical and Physical Sciences,,,,,,"$1,101.50 ","$1,106.78 ","$1,141.71 ","$1,117.54 ","$1,177.87 ","$1,189.13 ","$1,312.65 ","$1,392.29 ","$1,546.03 ","$1,583.67 ","$1,505.49 ","$1,482.33 ","$1,528.17 ","$1,523.77 ","$1,599.93 ","$1,744.52 ","$1,640.96 ","$1,605.87 ","$1,505.34 ","$1,498.81 ","$1,608.43 ","$1,562.40 ","$1,550.70 ","$1,672.24 ","$1,626.44 ","$1,530.12 ","$1,593.31 "
"Social, Behavioral and Economic Sciences",,,,,,$188.40 ,$199.93 ,$201.87 ,$205.83 ,$228.04 ,$255.03 ,$272.38 ,$278.29 ,$295.03 ,$267.38 ,$277.06 ,$274.51 ,$284.91 ,$296.48 ,$309.42 ,$325.59 ,$309.24 ,$311.91 ,$292.33 ,$303.62 ,$322.77 ,$315.30 ,$308.32 ,$278.83 ,$295.88 ,$280.35 ,$282.11 
"Technology, Innovation and Partnerships",,,,,,,,,,,,,,,,,,,,,,,,,,,,$289.85 ,$268.23 ,$290.15 ,$352.31 ,$369.00 
Other Research & Related Activities,"$3,632.42 ","$3,531.45 ","$3,633.82 ","$3,796.95 ","$4,046.14 ",$584.02 ,$510.75 ,$423.00 ,$573.78 ,$653.63 ,$609.74 ,$583.92 ,$614.98 ,$626.63 ,$792.23 ,$737.74 ,$776.75 ,$793.58 ,$924.89 ,$982.79 ,$989.72 ,$938.89 ,"$1,026.14 ","$1,038.77 ","$1,106.02 ","$1,075.56 ","$1,072.59 ","$1,068.20 ","$1,138.07 ","$1,185.47 ",$886.20 ,$923.35 
Total Research & Related Activities,"$3,632.42 ","$3,531.45 ","$3,633.82 ","$3,796.95 ","$4,046.14 ","$4,095.24 ","$4,019.36 ","$4,056.69 ","$4,183.41 ","$4,530.06 ","$4,687.91 ","$5,182.95 ","$5,469.76 ","$6,023.12 ","$6,228.72 ","$5,961.96 ","$5,935.57 ","$6,183.63 ","$6,314.59 ","$6,627.23 ","$7,161.13 ","$7,012.35 ","$7,065.87 ","$6,697.97 ","$6,827.32 ","$7,060.47 ","$6,948.06 ","$6,836.51 ","$7,096.80 ","$7,177.55 ","$6,602.71 ","$6,761.34 "
STEM Education (formerly Education and Human Resources),$395.34 ,$602.41 ,$847.83 ,$868.47 ,$993.10 ,"$1,044.55 ","$1,007.33 ","$1,019.36 ","$1,029.60 ","$1,063.60 ","$1,075.40 ","$1,222.49 ","$1,310.14 ","$1,388.82 ","$1,369.69 ","$1,187.57 ","$1,089.27 ","$1,059.43 ",$996.99 ,"$1,087.54 ","$1,113.03 ","$1,076.58 ","$1,019.14 ","$1,005.64 ",$983.58 ,"$1,035.79 ","$1,024.14 ",$994.06 ,"$1,005.36 ","$1,019.69 ","$1,084.24 ","$1,110.85 "
Major Research Equipment and Facilities,,,,,,$215.10 ,$117.30 ,$125.34 ,$127.17 ,$91.04 ,$165.18 ,$183.27 ,$174.49 ,$265.96 ,$266.89 ,$232.49 ,$318.96 ,$220.73 ,$217.09 ,$206.78 ,$211.57 ,$156.75 ,$243.06 ,$236.75 ,$236.43 ,$169.17 ,$279.75 ,$253.56 ,$207.22 ,$311.26 ,$154.84 ,$161.27 
All Other,$4.95 ,$194.36 ,$209.15 ,$204.31 ,$222.29 ,$227.86 ,$228.68 ,$229.83 ,$230.49 ,$240.00 ,$243.65 ,$256.43 ,$267.18 ,$298.60 ,$334.57 ,$334.04 ,$358.06 ,$350.67 ,$387.33 ,$398.86 ,$405.79 ,$397.21 ,$390.81 ,$374.45 ,$146.63 ,$211.00 ,$428.81 ,$457.13 ,$387.33 ,$384.39 ,$368.31 ,$406.56 